date,close,open,high,low,volume,Change %
2021-03-17,1562.11,1574.78,1589.47,1562.11,28500000000.0,-0.53
2021-03-16,1570.42,1561.41,1572.91,1557.54,21700000000.0,0.96
2021-03-15,1555.47,1558.78,1566.39,1553.49,20900000000.0,-0.12
2021-03-12,1557.39,1558.33,1561.65,1549.31,26200000000.0,0.06
2021-03-11,1556.49,1574.58,1580.03,1551.88,31000000000.0,-0.54
2021-03-10,1564.94,1551.3,1565.97,1551.3,30000000000.0,1.02
2021-03-09,1549.15,1542.04,1553.23,1534.99,30500000000.0,1.23
2021-03-08,1530.27,1549.62,1553.81,1526.58,35600000000.0,-0.76
2021-03-05,1541.98,1534.4,1546.08,1528.47,34000000000.0,0.26
2021-03-04,1538.04,1527.07,1542.65,1523.2,33000000000.0,0.46
2021-03-03,1531.05,1538.8,1553.96,1526.54,41800000000.0,0.15
2021-03-02,1528.82,1526.36,1537.46,1518.51,47000000000.0,0.09
2021-03-01,1527.45,1491.88,1527.45,1491.13,32400000000.000004,3.81
2021-02-26,1471.39,1457.18,1480.04,1443.17,37100000000.0,-1.13
2021-02-25,1488.21,1510.32,1514.81,1460.36,44300000000.0,0.35
2021-02-24,1483.02,1506.53,1523.19,1483.02,42500000000.0,-2.3
2021-02-23,1517.86,1558.03,1560.29,1515.25,51000000000.0,-2.11
2021-02-22,1550.61,1563.08,1569.84,1547.49,40500000000.0,-0.62
2021-02-19,1560.34,1551.54,1567.42,1550.14,42400000000.0,0.9
2021-02-18,1546.41,1548.04,1562.83,1544.22,46800000000.0,0.38
2021-02-17,1540.59,1550.49,1553.41,1529.93,50500000000.0,-0.14
2021-02-16,1542.82,1569.12,1575.7,1522.08,56300000000.0,-1.26
2021-02-15,1562.49,1551.12,1565.83,1547.38,29600000000.0,1.56
2021-02-12,1538.44,1542.5,1548.69,1526.72,30200000000.0,-0.46
2021-02-11,1545.59,1548.69,1558.08,1543.67,33400000000.0,-0.1
2021-02-10,1547.11,1553.41,1556.7,1536.44,39500000000.0,0.2
2021-02-09,1544.05,1538.53,1551.83,1535.59,54300000000.0,0.6
2021-02-08,1534.91,1540.22,1542.44,1519.0,65199999999.99999,0.51
2021-02-05,1527.17,1544.79,1549.51,1527.17,38200000000.0,-0.5
2021-02-04,1534.9,1537.65,1544.63,1530.82,42200000000.0,0.09
2021-02-03,1533.55,1520.7,1533.55,1509.18,51300000000.0,1.46
2021-02-02,1511.43,1505.09,1517.53,1500.04,47699999999.99999,1.27
2021-02-01,1492.45,1484.86,1500.88,1471.54,38200000000.0,1.29
2021-01-29,1473.45,1485.21,1495.54,1469.55,45100000000.0,-1.66
2021-01-28,1498.32,1453.37,1498.43,1431.32,58300000000.0,2.13
2021-01-27,1467.0,1536.13,1541.01,1467.0,57900000000.0,-4.5
